budget,genre,director_popularity,cast_popularity,release_month,marketing_spend,trailer_views,revenue
31.11,Romance,2.01,6.39,7.0,62.31,144330475.0,494.66
62.81,Romance,7.62,9.43,2.0,25.13,43601805.0,453.38
18.34,Romance,3.48,2.5,3.0,45.25,23442231.0,221.1
100.97,Thriller,6.75,7.46,7.0,80.53,150187545.0,747.1
119.66,Action,4.07,7.79,12.0,19.97,50650501.0,586.68
85.05,Drama,9.98,1.8,6.0,2.51,1333087.0,351.21
249.48,Romance,3.37,8.75,7.0,137.76,45490948.0,1081.84
110.24,Horror,3.51,8.32,10.0,47.12,7182534.0,643.88
87.88,Sci-Fi,9.38,1.3,9.0,34.78,50588151.0,379.42
165.1,Action,1.22,1.82,8.0,105.38,67668897.0,601.44
46.57,Action,7.27,1.44,6.0,128.3,55008632.0,577.64
241.65,Horror,7.53,4.01,12.0,95.58,184067476.0,1170.33
26.99,Action,8.53,5.58,4.0,39.66,47274057.0,495.07
296.13,Comedy,9.77,5.79,10.0,129.52,94039430.0,1407.61
232.81,Romance,9.78,3.41,9.0,77.54,191528091.0,867.53
63.62,Action,1.59,9.2,7.0,58.42,175960699.0,589.54
6.63,Sci-Fi,8.4,4.31,5.0,91.5,62542436.0,586.13
245.56,Drama,6.82,1.41,2.0,105.69,65971569.0,819.46
213.52,Horror,6.83,3.7,9.0,89.89,119072551.0,784.2
220.06,Romance,2.16,5.78,7.0,138.2,183654707.0,1083.41
232.52,Action,6.85,4.67,9.0,94.95,2989959.0,787.53
26.84,Thriller,9.84,3.46,11.0,132.03,79230839.0,560.96
110.75,Sci-Fi,9.21,2.18,9.0,88.87,170105322.0,627.48
39.18,Sci-Fi,4.95,8.37,10.0,50.79,82683526.0,585.23
259.62,Sci-Fi,1.36,9.97,5.0,80.78,144290920.0,1212.73
188.87,Action,4.26,3.97,7.0,14.78,138693056.0,643.19
102.61,Thriller,8.44,4.43,5.0,36.07,41886283.0,611.67
23.75,Comedy,7.31,6.56,3.0,115.4,90469306.0,579.83
96.74,Thriller,5.13,7.47,10.0,99.9,113671156.0,855.26
100.93,Thriller,1.5,4.53,8.0,26.64,143377124.0,411.0
220.23,Thriller,4.84,9.14,8.0,66.83,164655537.0,851.35
193.08,Romance,5.22,6.04,9.0,23.01,152226709.0,667.13
266.73,Sci-Fi,9.36,5.05,11.0,128.66,6633982.0,969.75
144.3,Action,6.77,6.82,12.0,18.16,134456930.0,741.82
40.28,Thriller,3.8,9.58,6.0,98.83,99965777.0,648.55
215.41,Horror,5.73,8.15,2.0,91.84,115198485.0,855.95
229.43,Sci-Fi,1.59,1.36,3.0,71.97,75220276.0,657.82
170.58,Sci-Fi,9.75,3.99,11.0,43.18,143091217.0,663.9
232.44,Sci-Fi,4.24,5.23,12.0,61.79,135103814.0,989.69
150.67,Comedy,5.3,3.83,10.0,121.35,116317810.0,990.79
159.21,Romance,4.2,7.3,11.0,114.71,172459501.0,835.36
131.12,Horror,7.14,8.44,6.0,111.34,21278105.0,839.54
12.5,Comedy,6.96,7.58,1.0,112.97,60903632.0,537.56
36.83,Sci-Fi,7.44,9.9,2.0,23.3,99530953.0,419.54
14.27,Drama,3.41,3.45,8.0,16.67,191762357.0,259.04
192.74,Romance,3.84,8.87,11.0,129.5,15320714.0,846.54
97.74,Romance,2.13,7.9,8.0,125.9,68078421.0,652.62
155.03,Comedy,6.9,4.26,6.0,102.84,185252220.0,897.19
272.73,Comedy,1.36,7.61,3.0,91.67,179691566.0,926.19
78.54,Romance,6.38,1.94,2.0,56.3,173183869.0,488.39
126.06,Action,8.83,8.1,6.0,35.16,62369701.0,663.1
227.89,Drama,9.02,5.79,1.0,100.81,169520320.0,898.73
72.5,Romance,5.04,3.63,10.0,137.13,101562543.0,819.52
27.71,Comedy,5.13,6.9,6.0,66.68,124335990.0,526.24
90.48,Thriller,1.69,6.77,9.0,46.88,48526156.0,402.75
52.56,Horror,7.04,2.89,7.0,42.07,141628104.0,438.77
279.26,Thriller,8.39,1.27,9.0,5.51,66211724.0,642.91
243.4,Action,3.2,4.9,2.0,79.01,69432205.0,778.78
191.85,Romance,4.79,6.13,11.0,148.26,127726618.0,921.89
262.08,Romance,8.55,8.89,5.0,122.66,48726553.0,1337.6
242.08,Thriller,8.89,9.35,9.0,134.83,45663306.0,1008.65
60.04,Thriller,3.19,5.76,7.0,93.93,74463426.0,568.97
268.3,Action,5.96,7.78,9.0,73.25,155834661.0,932.31
164.11,Thriller,2.73,4.95,11.0,148.59,45711728.0,778.32
243.19,Romance,1.92,7.71,6.0,68.18,157676360.0,963.9
269.35,Action,9.2,2.84,7.0,137.69,139425450.0,1199.71
98.81,Drama,8.38,4.34,10.0,114.75,136136896.0,899.56
37.47,Thriller,7.84,6.71,5.0,50.98,95476379.0,590.4
72.24,Sci-Fi,1.44,1.16,6.0,76.45,149431679.0,502.46
131.0,Sci-Fi,8.59,7.5,1.0,58.88,3690385.0,581.67
246.31,Horror,4.94,8.52,1.0,22.16,61815844.0,701.39
258.92,Action,4.08,4.59,2.0,54.8,136148355.0,786.35
7.05,Sci-Fi,5.92,5.03,11.0,133.57,197471789.0,595.37
155.67,Drama,1.82,8.66,4.0,113.39,1500354.0,914.78
128.14,Sci-Fi,7.81,7.98,11.0,43.08,102484481.0,593.06
70.52,Horror,6.24,3.59,9.0,56.45,184843449.0,473.29
40.36,Thriller,2.68,3.92,7.0,93.23,172844338.0,557.99
104.6,Drama,2.69,7.11,6.0,63.59,5604103.0,546.53
283.16,Comedy,2.66,6.07,1.0,76.45,106382067.0,862.06
100.34,Action,1.51,2.46,5.0,105.33,1853133.0,668.53
158.04,Sci-Fi,6.29,3.79,11.0,71.15,158125415.0,672.78
212.39,Sci-Fi,8.56,9.1,12.0,30.26,62466094.0,968.45
112.27,Action,1.16,7.19,4.0,79.04,153352542.0,799.81
291.68,Thriller,1.44,9.87,5.0,54.71,189013875.0,1187.94
288.92,Action,6.15,7.9,11.0,45.03,195240926.0,919.39
79.28,Horror,8.38,9.48,9.0,50.56,178928125.0,605.04
151.69,Action,3.94,2.95,12.0,66.97,41624547.0,694.91
93.76,Action,4.15,7.94,3.0,133.22,39725434.0,679.06
89.03,Horror,6.37,1.18,4.0,110.64,125530306.0,771.78
15.88,Action,3.47,7.04,8.0,100.85,109266683.0,484.32
184.82,Horror,1.24,5.22,3.0,71.75,2897387.0,604.38
153.29,Thriller,7.62,4.12,3.0,2.27,78953743.0,472.59
20.19,Drama,6.63,8.76,9.0,52.4,181431510.0,492.53
87.2,Romance,6.23,8.69,5.0,122.35,179773445.0,1001.46
272.94,Drama,7.68,1.2,10.0,59.45,41577470.0,992.57
75.67,Comedy,7.08,6.49,1.0,85.45,77010651.0,557.41
47.74,Comedy,2.85,4.31,7.0,32.3,112512836.0,370.9
149.39,Thriller,4.17,4.74,7.0,137.55,170704069.0,930.84
295.77,Romance,2.13,8.49,6.0,138.63,106866893.0,1241.14
76.41,Action,2.17,3.79,6.0,23.62,193671763.0,457.31
203.28,Drama,7.09,9.49,3.0,109.18,160011375.0,932.82
229.68,Sci-Fi,8.73,2.62,3.0,13.14,190665283.0,690.42
75.1,Sci-Fi,9.66,6.96,10.0,90.59,146566951.0,848.79
219.82,Action,6.66,7.05,11.0,28.44,175647204.0,750.73
113.5,Romance,2.66,3.27,9.0,23.56,166369755.0,436.48
191.53,Comedy,1.95,3.92,1.0,2.61,51513858.0,452.6
191.89,Romance,8.32,8.51,7.0,141.25,46677748.0,1084.61
163.05,Thriller,6.21,7.86,12.0,124.73,173012302.0,1154.62
31.64,Comedy,6.56,3.96,11.0,13.47,17850870.0,242.6
251.41,Thriller,8.03,5.81,10.0,90.71,82304157.0,1198.14
99.63,Drama,7.33,1.56,7.0,36.47,164310896.0,547.06
60.02,Action,8.51,2.88,8.0,41.07,162834627.0,431.12
17.03,Romance,1.51,5.37,6.0,131.38,28617779.0,535.58
179.31,Drama,7.73,1.77,8.0,18.92,98054250.0,543.96
204.88,Sci-Fi,8.66,8.59,1.0,91.02,96486648.0,861.21
9.89,Horror,3.58,7.46,1.0,61.39,65420569.0,393.89
156.07,Romance,6.76,9.49,9.0,30.24,183519048.0,694.13
71.82,Sci-Fi,3.83,7.24,12.0,68.88,130970405.0,675.08
195.33,Romance,9.62,9.46,4.0,141.19,196057310.0,1397.93
56.44,Action,1.3,5.99,3.0,117.68,14286476.0,469.05
208.83,Comedy,6.22,6.4,6.0,21.55,79475684.0,728.8
119.09,Thriller,2.5,9.79,10.0,127.72,167192375.0,1063.07
281.34,Horror,7.41,6.78,12.0,140.74,85114448.0,1372.37
45.57,Thriller,2.58,1.28,12.0,42.99,53113727.0,374.65
105.61,Romance,3.12,7.51,9.0,51.35,199563701.0,594.82
38.47,Comedy,5.45,9.15,10.0,20.69,174751853.0,555.22
277.78,Romance,9.23,8.16,11.0,53.05,109748259.0,931.11
263.82,Romance,2.91,6.25,4.0,101.62,112780138.0,1151.37
81.09,Action,2.3,7.04,9.0,42.28,2365729.0,371.92
199.7,Comedy,7.83,9.91,5.0,3.01,196217922.0,925.09
246.08,Drama,5.51,1.82,7.0,52.1,161452737.0,816.22
168.78,Romance,9.21,7.01,3.0,69.07,8309143.0,677.26
161.25,Thriller,2.32,3.55,3.0,85.82,36089708.0,590.15
76.35,Comedy,6.81,6.76,12.0,103.21,164385215.0,874.28
32.47,Action,3.1,6.47,3.0,11.14,18286244.0,240.34
269.68,Comedy,2.41,2.38,8.0,71.52,188415360.0,807.37
270.62,Romance,7.15,2.86,6.0,41.42,199978321.0,915.0
191.76,Thriller,6.34,6.59,9.0,142.3,177400129.0,944.42
105.01,Horror,7.79,2.15,9.0,55.26,148041894.0,479.5
108.02,Comedy,3.79,3.39,8.0,16.82,97969188.0,397.87
219.16,Sci-Fi,5.03,8.52,1.0,8.14,17403486.0,608.47
269.65,Romance,4.65,3.94,6.0,41.28,146358800.0,884.44
266.69,Romance,9.86,5.39,4.0,28.47,79976166.0,1029.87
235.06,Horror,3.63,9.47,4.0,98.17,114475498.0,1201.81
194.4,Sci-Fi,3.65,3.04,3.0,127.35,59384705.0,756.91
29.82,Sci-Fi,4.19,4.51,12.0,48.26,49189046.0,417.37
52.68,Action,6.08,6.46,9.0,87.51,65535095.0,538.54
270.07,Horror,3.27,7.8,2.0,110.09,162951777.0,978.04
183.9,Comedy,9.24,9.11,1.0,60.98,85871816.0,792.72
7.71,Action,3.39,9.24,10.0,11.82,63029874.0,355.05
34.93,Horror,9.06,7.99,3.0,35.92,87161109.0,406.01
200.73,Comedy,1.93,3.05,4.0,132.69,7425186.0,970.79
6.49,Drama,6.91,1.22,4.0,124.02,178230252.0,661.57
52.44,Action,9.16,4.45,6.0,14.81,110800550.0,406.49
166.88,Drama,2.52,2.27,1.0,35.14,21860419.0,447.61
209.11,Horror,9.71,7.39,1.0,115.84,58392979.0,895.76
197.33,Sci-Fi,5.08,6.95,2.0,73.91,196726997.0,829.97
71.16,Drama,9.51,1.4,4.0,114.48,119018428.0,795.8
215.09,Romance,7.09,8.53,7.0,33.24,58989572.0,804.28
74.99,Romance,3.71,3.24,6.0,143.0,85842787.0,700.41
100.99,Thriller,2.69,4.89,11.0,117.97,52436481.0,612.05
225.21,Drama,3.73,7.01,9.0,31.22,7329047.0,644.01
196.64,Action,1.84,4.86,7.0,84.65,168563976.0,848.91
255.52,Romance,2.29,4.97,12.0,18.74,59203250.0,816.85
199.0,Comedy,1.94,1.59,5.0,55.49,167843737.0,810.01
172.65,Comedy,4.81,4.61,6.0,99.62,96232856.0,838.44
32.63,Action,8.16,7.88,10.0,50.86,37396033.0,570.99
113.48,Horror,2.27,9.24,9.0,99.2,160571870.0,716.72
83.23,Romance,2.17,4.72,1.0,38.23,76045185.0,366.08
76.98,Horror,6.79,4.81,11.0,108.74,141838108.0,625.0
292.04,Horror,2.77,7.32,9.0,55.22,167608704.0,851.51
120.96,Thriller,1.88,9.48,6.0,118.99,192634146.0,906.03
268.15,Sci-Fi,2.5,3.4,12.0,22.23,18077092.0,779.55
191.19,Romance,9.31,4.96,4.0,55.57,2668910.0,846.11
239.47,Romance,8.39,8.16,12.0,70.66,110136571.0,1168.23
153.28,Romance,4.19,6.49,5.0,64.73,53583951.0,802.07
175.19,Romance,6.9,2.0,1.0,66.1,94351256.0,628.44
150.29,Horror,5.84,6.65,7.0,67.83,15459079.0,703.1
62.6,Comedy,7.09,2.68,8.0,148.34,100816220.0,664.53
218.12,Action,7.14,5.59,11.0,30.59,25846275.0,627.94
87.83,Horror,6.66,5.76,5.0,115.76,167878964.0,917.23
12.17,Romance,3.39,8.89,2.0,83.66,152137874.0,498.54
195.41,Drama,1.35,5.16,8.0,63.22,15740642.0,591.67
57.25,Romance,5.1,3.51,10.0,95.76,167433721.0,741.19
282.44,Sci-Fi,9.02,3.08,7.0,128.32,65666740.0,1117.19
286.41,Sci-Fi,6.13,8.87,10.0,71.06,71219089.0,1183.7
274.88,Drama,8.49,2.54,9.0,129.99,36780911.0,941.58
114.2,Drama,9.92,4.83,4.0,15.88,167225520.0,680.42
9.56,Comedy,2.47,2.68,11.0,98.66,81536447.0,336.31
278.85,Comedy,7.23,7.96,9.0,51.31,10718338.0,828.98
131.31,Drama,7.07,5.27,4.0,59.23,193283676.0,853.76
290.16,Action,9.82,4.16,3.0,86.51,51921556.0,931.15
289.27,Horror,9.87,4.25,11.0,73.03,187299278.0,951.71
256.64,Action,7.18,8.67,3.0,58.5,60946434.0,814.76
91.86,Thriller,3.19,5.98,10.0,47.63,166453892.0,648.69
118.6,Horror,8.19,7.46,2.0,93.51,133179679.0,692.91
256.09,Thriller,1.96,9.07,10.0,76.83,172395403.0,1201.52
98.49,Thriller,8.03,9.12,3.0,49.85,195247479.0,660.68
55.0,Sci-Fi,9.19,3.96,8.0,32.33,174425253.0,461.99
169.26,Horror,4.45,9.57,11.0,116.62,81329367.0,837.14
281.17,Romance,6.68,1.22,8.0,120.36,163086193.0,935.62
210.33,Thriller,4.87,4.39,2.0,33.64,142618511.0,645.38
173.17,Action,4.94,9.06,11.0,40.72,13259130.0,623.52
33.67,Sci-Fi,3.79,3.47,2.0,37.39,186022259.0,329.46
186.43,Romance,7.86,3.46,2.0,132.92,93726257.0,843.29
297.07,Comedy,9.43,3.72,10.0,116.57,27755663.0,1290.33
46.32,Horror,9.47,6.51,7.0,13.04,85650241.0,471.95
157.91,Romance,2.57,4.94,6.0,125.23,121025108.0,882.99
263.83,Action,8.87,7.54,12.0,7.45,115016279.0,1012.99
223.53,Sci-Fi,7.64,9.05,11.0,39.47,115383936.0,784.02
210.62,Drama,3.28,7.07,1.0,138.01,51912017.0,883.96
212.23,Sci-Fi,1.61,2.84,2.0,129.92,126907787.0,819.89
111.05,Horror,3.41,9.39,1.0,117.65,181575552.0,741.18
91.61,Thriller,9.21,3.38,12.0,69.72,78344722.0,700.16
243.76,Romance,6.7,2.35,11.0,49.57,126485476.0,683.55
243.98,Horror,7.49,1.81,7.0,132.47,49553414.0,980.98
260.79,Sci-Fi,3.31,6.07,6.0,99.25,10607923.0,960.81
274.41,Romance,7.47,2.02,2.0,45.74,117560541.0,771.76
155.85,Comedy,1.25,2.25,2.0,70.55,10462411.0,472.86
152.95,Horror,4.38,3.7,2.0,132.46,144993334.0,788.39
240.5,Romance,6.64,3.53,8.0,135.71,134400187.0,969.03
196.74,Thriller,2.31,6.44,7.0,99.58,74495679.0,882.65
212.08,Sci-Fi,8.41,8.35,1.0,110.42,82846732.0,910.39
239.76,Thriller,3.12,7.85,4.0,7.82,183634426.0,929.64
267.55,Thriller,6.87,3.36,11.0,91.48,3613591.0,814.3
104.71,Sci-Fi,4.65,3.21,4.0,103.97,113097373.0,790.51
115.8,Comedy,6.36,9.69,7.0,5.02,184748864.0,625.48
32.72,Thriller,1.97,1.07,2.0,126.89,182883462.0,496.72
175.59,Comedy,1.15,8.92,4.0,139.39,117346497.0,1137.52
15.6,Comedy,9.19,2.8,1.0,37.21,76864770.0,316.57
142.35,Comedy,3.43,9.53,11.0,127.18,20681802.0,768.17
165.08,Comedy,8.38,4.08,11.0,100.5,35583057.0,691.58
89.53,Sci-Fi,9.99,4.96,4.0,87.94,136254998.0,837.3
179.3,Action,2.9,7.36,11.0,126.78,4310183.0,765.05
14.0,Action,3.39,6.29,1.0,44.27,176813630.0,405.46
16.02,Horror,6.97,3.86,2.0,119.05,117998960.0,526.61
247.67,Action,9.69,5.98,2.0,48.55,9984186.0,767.34
111.26,Thriller,9.24,7.58,12.0,118.54,48713717.0,981.4
42.48,Comedy,5.53,1.38,10.0,68.76,119245981.0,526.7
159.06,Action,8.16,1.1,12.0,19.31,8084652.0,540.92
232.15,Drama,2.22,5.12,3.0,58.46,156217493.0,735.05
68.67,Sci-Fi,9.8,2.19,8.0,36.56,184064491.0,468.51
188.75,Comedy,9.68,6.98,11.0,16.88,192282858.0,704.12
30.18,Horror,2.47,2.93,6.0,18.32,146998190.0,272.75
20.25,Action,3.69,4.9,6.0,117.45,171508269.0,606.35
161.75,Thriller,1.9,2.78,9.0,132.45,122530785.0,716.88
164.49,Comedy,3.45,5.94,8.0,139.22,92250189.0,810.34
193.04,Sci-Fi,8.34,2.04,2.0,128.38,142913816.0,849.93
219.2,Romance,4.4,1.21,6.0,124.87,45611952.0,912.41
292.88,Comedy,1.8,1.46,1.0,12.19,22847081.0,588.47
157.31,Drama,4.08,9.59,9.0,118.94,152608344.0,852.02
100.27,Thriller,9.83,2.28,4.0,117.93,191679172.0,916.59
239.58,Horror,6.67,7.38,4.0,21.43,115918387.0,956.73
84.9,Horror,4.75,1.61,9.0,99.98,97025932.0,553.72
134.5,Drama,2.5,1.97,3.0,68.97,107346442.0,522.3
28.14,Comedy,9.88,5.58,5.0,135.2,96214373.0,823.33
12.48,Horror,8.39,5.18,1.0,104.92,88997856.0,511.71
288.98,Action,3.53,9.56,6.0,142.75,189460103.0,1341.3
251.61,Action,1.63,9.5,3.0,17.53,96472875.0,715.38
210.31,Horror,1.51,8.02,1.0,8.01,17139386.0,555.25
125.64,Action,2.08,6.42,10.0,146.09,153337819.0,1044.26
56.12,Drama,6.23,5.09,6.0,13.87,78920759.0,386.72
51.15,Romance,9.36,4.21,12.0,59.16,142428016.0,646.84
78.82,Sci-Fi,5.47,9.52,10.0,98.2,116334303.0,858.75
167.02,Thriller,8.59,6.43,2.0,132.25,142922833.0,879.9
215.81,Action,5.01,6.21,8.0,39.68,13336797.0,632.97
199.76,Thriller,7.38,3.09,11.0,6.3,7740791.0,478.07
87.58,Romance,7.59,1.42,12.0,79.15,76329783.0,652.98
286.69,Sci-Fi,2.57,9.51,2.0,71.72,138940061.0,919.75
222.68,Drama,4.25,3.82,4.0,47.42,45512823.0,835.74
168.53,Sci-Fi,6.74,4.98,3.0,131.34,87246743.0,819.6
185.46,Horror,1.64,2.03,9.0,112.9,196181243.0,730.76
128.78,Sci-Fi,4.25,8.53,2.0,129.0,43760036.0,752.0
78.08,Sci-Fi,5.81,1.25,3.0,25.95,169740749.0,348.53
110.01,Romance,9.97,8.51,7.0,104.48,165266716.0,923.15
228.56,Horror,5.27,2.26,4.0,146.32,178379085.0,1244.23
9.25,Drama,8.34,8.98,6.0,92.56,183113207.0,691.66
39.24,Horror,4.89,7.57,3.0,27.36,101956718.0,380.55
18.57,Horror,8.17,2.48,1.0,149.38,136704823.0,592.23
17.01,Thriller,6.36,6.09,11.0,80.19,124159291.0,459.71
257.36,Sci-Fi,8.98,3.81,6.0,126.33,62480760.0,1082.95
212.58,Romance,4.7,2.6,4.0,24.11,56677730.0,740.6
144.88,Sci-Fi,6.44,8.73,2.0,100.58,68972424.0,774.0
33.86,Drama,6.67,4.63,7.0,137.07,44473089.0,654.32
150.03,Drama,4.76,4.59,10.0,80.74,151719327.0,863.52
144.67,Romance,2.3,2.53,12.0,44.72,192950001.0,697.22
56.09,Romance,1.84,4.45,5.0,20.86,173686577.0,464.07
132.99,Thriller,1.15,8.84,6.0,45.8,44370140.0,617.08
122.56,Action,8.86,4.27,6.0,54.52,11331179.0,602.08
186.68,Sci-Fi,3.13,9.56,9.0,107.07,151661688.0,855.15
192.35,Romance,2.9,9.52,12.0,28.44,78652547.0,813.03
18.36,Thriller,7.62,2.3,2.0,17.7,165097911.0,290.51
115.51,Horror,3.88,2.6,12.0,59.27,156067924.0,673.05
189.63,Romance,5.55,8.76,6.0,69.88,125456640.0,890.83
153.43,Sci-Fi,2.46,4.53,9.0,95.0,51812528.0,627.25
257.66,Horror,9.64,1.04,12.0,106.71,21703118.0,1123.74
199.31,Drama,8.66,3.46,4.0,133.61,51277017.0,1112.48
53.07,Thriller,8.77,6.38,12.0,44.77,102442179.0,620.22
25.82,Action,4.66,8.19,11.0,80.23,195913132.0,538.63
194.51,Romance,7.86,2.2,6.0,56.17,13673761.0,695.02
12.82,Horror,2.29,1.99,7.0,2.21,40814328.0,145.14
177.8,Romance,1.08,9.3,1.0,87.76,125828612.0,761.14
282.37,Horror,1.18,7.76,5.0,122.74,61568515.0,1269.06
174.76,Comedy,6.28,6.31,4.0,7.39,171842356.0,799.96
119.51,Horror,5.1,7.92,10.0,2.52,28743980.0,558.47
194.77,Romance,5.66,4.86,2.0,109.72,192668347.0,854.76
140.18,Thriller,1.07,7.83,2.0,103.21,182562603.0,746.04
165.96,Romance,4.8,4.35,2.0,62.07,177618282.0,651.82
282.73,Romance,7.46,3.2,7.0,99.92,35440739.0,1010.33
118.9,Romance,4.98,7.56,11.0,143.1,66569729.0,755.79
288.55,Horror,7.59,4.78,11.0,38.68,161015272.0,837.97
272.08,Action,3.1,9.83,4.0,38.4,161753805.0,1103.37
62.76,Thriller,8.32,4.15,6.0,29.56,141329908.0,465.98
25.46,Horror,6.3,9.3,7.0,109.15,90162125.0,665.05
34.73,Comedy,2.9,9.4,9.0,54.27,63006265.0,382.71
10.38,Action,3.13,3.18,11.0,148.33,192628629.0,574.15
32.86,Action,6.65,8.18,2.0,107.77,28713192.0,545.68
206.49,Romance,8.47,4.9,10.0,56.37,9707058.0,896.46
26.0,Sci-Fi,4.74,9.26,12.0,24.08,2816973.0,401.33
99.1,Action,3.32,5.05,9.0,89.62,155230355.0,602.48
254.24,Sci-Fi,8.8,7.7,11.0,45.65,12284324.0,770.03
11.87,Horror,7.02,5.2,5.0,136.02,108190077.0,766.82
245.27,Sci-Fi,5.03,3.05,6.0,67.33,74091196.0,819.15
88.15,Romance,5.39,2.79,6.0,45.31,30234670.0,441.92
39.86,Thriller,2.84,4.83,11.0,89.11,148378502.0,473.36
210.54,Romance,6.64,7.8,3.0,22.27,11946359.0,640.75
190.54,Sci-Fi,4.23,6.45,11.0,85.11,64360374.0,734.89
263.85,Horror,9.96,7.2,11.0,10.3,112876054.0,794.93
221.85,Comedy,5.32,3.54,10.0,91.82,81080729.0,976.15
242.03,Action,5.37,5.33,7.0,80.46,52570492.0,934.04
88.2,Sci-Fi,6.09,1.4,7.0,79.07,185274200.0,608.58
57.34,Romance,9.25,8.36,8.0,103.26,186263107.0,723.49
226.43,Sci-Fi,8.21,9.91,5.0,8.58,83802813.0,978.61
243.02,Action,5.06,4.66,2.0,70.04,79355139.0,782.38
297.2,Horror,7.47,1.1,3.0,67.72,62169624.0,795.59
126.72,Thriller,6.28,2.53,9.0,70.05,171295482.0,576.89
114.75,Thriller,5.43,6.87,6.0,147.02,114015142.0,903.88
234.04,Horror,2.73,6.51,8.0,22.61,18814920.0,615.63
105.54,Comedy,5.18,8.09,8.0,104.18,170810820.0,706.7
279.57,Action,3.21,3.28,5.0,61.5,107442368.0,995.88
258.23,Romance,9.23,7.87,1.0,77.74,83702769.0,929.93
131.55,Drama,4.02,7.19,6.0,114.83,68235124.0,807.71
226.51,Thriller,9.57,3.91,7.0,25.29,20785891.0,749.22
